epoch,train_loss,val_loss,val_acc,val_qwk,lr,epoch_time_s
1,1.571709,1.246899,0.268147,0.339715,0.00030000,499.01
2,1.312976,1.190886,0.128380,0.344547,0.00029268,495.07
3,1.245528,1.115817,0.612866,0.474658,0.00027145,495.09
4,1.217350,1.089056,0.689439,0.527691,0.00023837,494.93
5,1.162291,1.082964,0.674922,0.618995,0.00019670,495.21
6,1.126346,1.047984,0.773698,0.713926,0.00015050,495.42
7,1.076598,1.025312,0.565898,0.623924,0.00010430,495.36
8,1.037664,0.994866,0.766866,0.732728,0.00006263,495.73
9,0.990051,0.992886,0.725875,0.727600,0.00002955,496.53
10,0.976265,0.963653,0.771990,0.741808,0.00000832,496.57
